time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-13T20:49:11.300Z,39.4181667,-110.3076667,-2.12,1.84,md,8,197,0.01475,0.11,uu,uu60477562,2022-01-13T21:31:39.670Z,"16 km SSE of Sunnyside, Utah",earthquake,0.56,0.66,0.11,7,reviewed,uu,uu
2022-01-13T20:43:38.140Z,39.4225,-110.3073333,-1.8,1.61,md,7,196,0.01385,0.08,uu,uu60477557,2022-01-13T21:30:04.790Z,"15 km SSE of Sunnyside, Utah",earthquake,1.03,0.89,0.242,6,reviewed,uu,uu
2022-01-13T20:35:22.330Z,19.4193333333333,-155.2725,12.85,1.37,md,18,142,,0.1,hv,hv72871212,2022-01-13T21:34:25.520Z,"4 km WSW of Volcano, Hawaii",earthquake,0.57,0.59,0.282508763570753,6,reviewed,hv,hv
2022-01-13T20:26:47.510Z,38.8288345,-122.8044968,1.67,0.46,md,7,78,0.006963,0,nc,nc73678081,2022-01-13T21:35:11.483Z,"7km NW of The Geysers, CA",earthquake,0.44,0.63,0.39,2,automatic,nc,nc
2022-01-13T20:26:46.370Z,33.4888333,-116.435,13.74,1.01,ml,29,113,0.03534,0.18,ci,ci39911695,2022-01-13T21:14:22.290Z,"23km SSW of La Quinta, CA",earthquake,0.3,0.49,0.126,29,reviewed,ci,ci
2022-01-13T20:20:31.770Z,38.3321,-119.3607,12.1,1.5,ml,14,180.24,0.065,0.1454,nn,nn00831692,2022-01-13T20:37:45.969Z,"14 km NW of Bridgeport, California",earthquake,,1.9,0.15,4,reviewed,nn,nn
2022-01-13T20:14:38.990Z,33.4858333,-116.4405,12.21,1.33,ml,51,50,0.03946,0.23,ci,ci39911687,2022-01-13T21:14:25.780Z,"23km ESE of Anza, CA",earthquake,0.28,0.57,0.175,25,reviewed,ci,ci
2022-01-13T20:13:06.210Z,38.7869987,-122.7686691,2,0.61,md,16,83,0.0153,0.03,nc,nc73678066,2022-01-13T20:44:11.167Z,"2km NW of The Geysers, CA",earthquake,0.28,0.59,0.24,3,automatic,nc,nc
2022-01-13T20:09:25.200Z,34.9923333,-118.1856667,-0.8,1.39,ml,17,53,0.1186,0.14,ci,ci39911679,2022-01-13T21:11:35.603Z,"7km S of Mojave, CA",quarry blast,0.29,31.61,0.186,26,reviewed,ci,ci
2022-01-13T20:05:03.910Z,33.4681667,-116.433,13.18,0.99,ml,30,77,0.05542,0.14,ci,ci39911671,2022-01-13T21:08:19.532Z,"24km NNW of Borrego Springs, CA",earthquake,0.21,0.48,0.153,22,reviewed,ci,ci
